,cv_score,model,model_info
187,0.8867135234546322,"ExtraTreesClassifier(GaussianNB(input_matrix), ExtraTreesClassifier__bootstrap=True, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.6500000000000001, ExtraTreesClassifier__min_samples_leaf=20, ExtraTreesClassifier__min_samples_split=19, ExtraTreesClassifier__n_estimators=100)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=True, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.6500000000000001, ExtraTreesClassifier__min_samples_leaf=20, ExtraTreesClassifier__min_samples_split=19, ExtraTreesClassifier__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': 0.8867135234546322}"
0,0.8865168380403542,GaussianNB(input_matrix),"{'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': 0.8865168380403542}"
242,0.8865168380403542,"GaussianNB(CombineDFs(input_matrix, input_matrix))","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('GaussianNB(input_matrix)',), 'operator_count': 1, 'internal_cv_score': 0.8865168380403542}"
116,0.8862087649649885,GaussianNB(ZeroCount(input_matrix)),"{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('GaussianNB(input_matrix)',), 'operator_count': 2, 'internal_cv_score': 0.8862087649649885}"
139,0.8856481136485956,"RandomForestClassifier(GaussianNB(input_matrix), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.7000000000000001, RandomForestClassifier__min_samples_leaf=18, RandomForestClassifier__min_samples_split=10, RandomForestClassifier__n_estimators=100)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.7000000000000001, RandomForestClassifier__min_samples_leaf=18, RandomForestClassifier__min_samples_split=10, RandomForestClassifier__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': 0.8856481136485956}"
85,0.8853818155726018,"LinearSVC(GaussianNB(input_matrix), LinearSVC__C=1.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=1e-05)","{'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 2, 'internal_cv_score': 0.8853818155726018}"
195,0.8818911786190254,"XGBClassifier(GaussianNB(RobustScaler(input_matrix)), XGBClassifier__learning_rate=0.1, XGBClassifier__max_depth=6, XGBClassifier__min_child_weight=1, XGBClassifier__n_estimators=100, XGBClassifier__nthread=1, XGBClassifier__subsample=0.25)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('XGBClassifier(RobustScaler(input_matrix), XGBClassifier__learning_rate=0.1, XGBClassifier__max_depth=6, XGBClassifier__min_child_weight=1, XGBClassifier__n_estimators=100, XGBClassifier__nthread=1, XGBClassifier__subsample=0.25)',), 'operator_count': 3, 'internal_cv_score': 0.8818911786190254}"
230,0.8811336997780665,"GaussianNB(SelectPercentile(input_matrix, SelectPercentile__percentile=61))","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('GaussianNB(input_matrix)',), 'operator_count': 2, 'internal_cv_score': 0.8811336997780665}"
223,0.8809667047558568,"LinearSVC(GaussianNB(LinearSVC(input_matrix, LinearSVC__C=25.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.01)), LinearSVC__C=1.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=1e-05)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('LinearSVC(GaussianNB(input_matrix), LinearSVC__C=1.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=1e-05)',), 'operator_count': 3, 'internal_cv_score': 0.8809667047558568}"
206,0.8791450648683572,"GaussianNB(PCA(input_matrix, PCA__iterated_power=1, PCA__svd_solver=randomized))","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('GaussianNB(input_matrix)',), 'operator_count': 2, 'internal_cv_score': 0.8791450648683572}"
23,0.8746275791522606,"GaussianNB(FastICA(input_matrix, FastICA__tol=0.55))","{'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 2, 'internal_cv_score': 0.8746275791522606}"
140,0.8746275791522606,"GaussianNB(MinMaxScaler(FastICA(input_matrix, FastICA__tol=0.55)))","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('GaussianNB(FastICA(input_matrix, FastICA__tol=0.55))',), 'operator_count': 3, 'internal_cv_score': 0.8746275791522606}"
245,0.8666843054242417,"GaussianNB(LogisticRegression(input_matrix, LogisticRegression__C=0.01, LogisticRegression__dual=False, LogisticRegression__penalty=l2))","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('GaussianNB(input_matrix)',), 'operator_count': 2, 'internal_cv_score': 0.8666843054242417}"
129,0.8665163770405225,"GaussianNB(LogisticRegression(input_matrix, LogisticRegression__C=20.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2))","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('GaussianNB(input_matrix)',), 'operator_count': 2, 'internal_cv_score': 0.8665163770405225}"
194,0.8653181208958534,"LinearSVC(SelectPercentile(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=2, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=4, GradientBoostingClassifier__min_samples_split=12, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.9000000000000001), SelectPercentile__percentile=88), LinearSVC__C=5.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.1)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('LinearSVC(SelectPercentile(input_matrix, SelectPercentile__percentile=88), LinearSVC__C=5.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.1)',), 'operator_count': 3, 'internal_cv_score': 0.8653181208958534}"
119,0.860233722193082,"XGBClassifier(MaxAbsScaler(input_matrix), XGBClassifier__learning_rate=0.5, XGBClassifier__max_depth=3, XGBClassifier__min_child_weight=13, XGBClassifier__n_estimators=100, XGBClassifier__nthread=1, XGBClassifier__subsample=0.7500000000000001)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('XGBClassifier(MaxAbsScaler(input_matrix), XGBClassifier__learning_rate=0.5, XGBClassifier__max_depth=3, XGBClassifier__min_child_weight=19, XGBClassifier__n_estimators=100, XGBClassifier__nthread=1, XGBClassifier__subsample=0.7500000000000001)',), 'operator_count': 2, 'internal_cv_score': 0.860233722193082}"
19,0.8582312231186785,"XGBClassifier(MaxAbsScaler(input_matrix), XGBClassifier__learning_rate=0.5, XGBClassifier__max_depth=3, XGBClassifier__min_child_weight=19, XGBClassifier__n_estimators=100, XGBClassifier__nthread=1, XGBClassifier__subsample=0.7500000000000001)","{'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 2, 'internal_cv_score': 0.8582312231186785}"
147,0.8574174777942014,"LinearSVC(FastICA(input_matrix, FastICA__tol=0.30000000000000004), LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('LinearSVC(input_matrix, LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)',), 'operator_count': 2, 'internal_cv_score': 0.8574174777942014}"
218,0.8573993740790951,"LinearSVC(PCA(input_matrix, PCA__iterated_power=5, PCA__svd_solver=randomized), LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('LinearSVC(input_matrix, LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)',), 'operator_count': 2, 'internal_cv_score': 0.8573993740790951}"
191,0.8573984455654671,"LinearSVC(PCA(input_matrix, PCA__iterated_power=6, PCA__svd_solver=randomized), LinearSVC__C=20.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.001)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('LinearSVC(input_matrix, LinearSVC__C=20.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.001)',), 'operator_count': 2, 'internal_cv_score': 0.8573984455654671}"
212,0.8573983683241619,"LinearSVC(StandardScaler(FastICA(input_matrix, FastICA__tol=0.0)), LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)","{'generation': 'INVALID', 'mutation_count': 2, 'crossover_count': 0, 'predecessor': ('LinearSVC(StandardScaler(input_matrix), LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)',), 'operator_count': 3, 'internal_cv_score': 0.8573983683241619}"
200,0.8573978653053487,"LinearSVC(RobustScaler(input_matrix), LinearSVC__C=20.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=1e-05)","{'generation': 'INVALID', 'mutation_count': 2, 'crossover_count': 0, 'predecessor': ('LinearSVC(SelectPercentile(input_matrix, SelectPercentile__percentile=88), LinearSVC__C=20.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=1e-05)',), 'operator_count': 2, 'internal_cv_score': 0.8573978653053487}"
120,0.8573976912507708,"LinearSVC(StandardScaler(input_matrix), LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)","{'generation': 'INVALID', 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('LinearSVC(input_matrix, LinearSVC__C=15.0, LinearSVC__dual=False, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l1, LinearSVC__tol=0.0001)',), 'operator_count': 2, 'internal_cv_score': 0.8573976912507708}"
